"name","playerId"
"Lopez, Mendy (133741)",133741
"Harriger, Dennis (133743)",133743
"Martinez, Ramon (134002)",134002
"Beltre, Adrian (134181)",134181
"Diaz, Edwin (134262)",134262
"Halama, John (134280)",134280
"Vazquez, Javier (134320)",134320
"Tam, Jeffrey (134641)",134641
"Castro, Ramon (135783)",135783
"Polanco, Placido (135784)",135784
"Nieves, Jose (136303)",136303
"De Los Santos, Valerio (136304)",136304
"Garcia, Guillermo (136306)",136306
"Otanez, Willis (136400)",136400
"Gonzalez, Alexander (136460)",136460
"Chen, Bruce (136600)",136600
"Lombard, George (136601)",136601
"Perez, Odalis (136602)",136602
"Rios, Armando (136608)",136608
"Seguignol, Fernando (136663)",136663
"Barrett, Michael (136664)",136664
"Guillen, Carlos (136722)",136722
"Pena, Angel (136723)",136723
"Nunez, Vladimir (136727)",136727
"Dotel, Octavio (136734)",136734
"Clemente, Edgard (136762)",136762
"Beltran, Carlos (136860)",136860
"Fick, Robert (137001)",137001
"Branyan, Russell (137140)",137140
"Castro, Nelson (150000)",150000
"Etherton, Seth (150003)",150003
"Ortiz, Diogenes (150009)",150009
"Pote, Louis (150010)",150010
"Garcia, Jesus (150019)",150019
"Hairston, Jerry (150020)",150020
"McDonald, Darnell (150021)",150021
"Farnsworth, Kyle (150035)",150035
"King, Raymond (150037)",150037
"Meyers, Chad (150039)",150039
"Molina, Jose (150040)",150040
"Lee, David (150049)",150049
"Porzio, Lawrence (150053)",150053
"Sosa, Juan (150057)",150057
"Hernandez, Carlos (150059)",150059
"Lugo, Julio (150061)",150061
"Barker, Kevin (150070)",150070
"Belliard, Ronald (150071)",150071
"Perez, Santiago (150080)",150080
"Ramirez, Hector (150082)",150082
"Hernandez, Michel (150089)",150089
"Jimenez, D'Angelo (150090)",150090
"McDonald, Donzell (150092)",150092
"Soriano, Alfonso (150093)",150093
"Yarnall, Harvey (150097)",150097
"Lucca, Louis (150108)",150108
"Taylor, Reginald (150114)",150114
"Garcia, Freddy (150119)",150119
"Marte, Damaso (150122)",150122
"Hernandez, Santos (150136)",150136
"Hoover, Paul (150137)",150137
"Bierbrodt, Nicholas (150149)",150149
"Figueroa, Nelson (150153)",150153
"Randolph, Stephen (150159)",150159
"Spivey, Ernest (150160)",150160
"Alcantara, Israel (150161)",150161
"Pena, Juan (150170)",150170
"Veras, Wilton (150173)",150173
"Williamson, Scott (150182)",150182
"Anderson, Matthew (150183)",150183
"Borkowski, David (150185)",150185
"Cordero, Francisco (150188)",150188
"Macias, Jose (150197)",150197
"Roberts, Willis (150199)",150199
"Swann, Pedro (150201)",150201
"Brown, Dermal (150202)",150202
"George, Christopher (150203)",150203
"Hill, Jeremy (150204)",150204
"Moreno, Orber (150205)",150205
