batterId,playerId,name
150435,150435,"Gonzalez, Wiklenman (150435)"
150440,150440,"Melo, Juan (150440)"
150459,150459,"Leon, Jose (150459)"
150479,150479,"Lopez, Felipe (150479)"
150483,150483,"Sanders, Anthony (150483)"
204020,204020,"Berkman, William (204020)"
206551,206551,"Mora, Melvin (206551)"
212297,212297,"Franco, Julio (212297)"
217100,217100,"Bloomquist, William (217100)"
217915,217915,"Ford, Jon (217915)"
218594,218594,"Rodriguez, Liubiemithz (218594)"
218595,218595,"Woodward, Christopher (218595)"
220194,220194,"Durazo, Erubiel (220194)"
220594,220594,"Fernandez, Jared (220594)"
235194,235194,"Dawkins, Travis (235194)"
236155,236155,"Cancel, Robinson (236155)"
240494,240494,"Quinn, Mark (240494)"
275928,275928,"Matos, Luis (275928)"
275936,275936,"Zuleta, Julio (275936)"
276054,276054,"Clark, Brady (276054)"
276354,276354,"Treanor, Matthew (276354)"
276372,276372,"Rivas, Luis (276372)"
276377,276377,"Pena, Wily (276377)"
276510,276510,"Escobar, Alexander (276510)"
276515,276515,"Ortiz, Jose (276515)"
276521,276521,"Cota, Humberto (276521)"
276523,276523,"Redman, Julian (276523)"
276534,276534,"Rodriguez, Guillermo (276534)"
277398,277398,"Guzman, Elpido (277398)"
279564,279564,"Wooten, William (279564)"
279576,279576,"Torrealba, Steven (279576)"
279577,279577,"Furcal, Rafael (279577)"
279619,279619,"Rodriguez, Luis A. (279619)"
279827,279827,"Quintero, Humberto (279827)"
279912,279912,"Gonzalez, Victor (279912)"
282565,282565,"Mendez, Carlos (282565)"
282587,282587,"Prieto, Alejandro (282587)"
282594,282594,"Gil, Geronimo (282594)"
282598,282598,"Allen, Lucas (282598)"
282878,282878,"Kielty, Robert (282878)"
282905,282905,"Tracy, Andrew (282905)"
282993,282993,"Phillips, Jason (282993)"
284568,284568,"Burroughs, Sean (284568)"
285070,285070,"Clark, Douglas (285070)"
285081,285081,"Taveras, Luis (285081)"
285131,285131,"Izturis, Cesar (285131)"
285132,285132,"Lopez, Luis (285132)"
291565,291565,"Byrnes, Eric (291565)"
292294,292294,"Figueroa, Luis (292294)"
294558,294558,"Nady, Xavier (294558)"
294697,294697,"Cabrera, Alex (294697)"
324432,324432,"Ojeda, Octavio (324432)"
328692,328692,"Burkhart, Morgan (328692)"
340192,340192,"Scutaro, Marcos (340192)"
340392,340392,"Perez, Timoniel (340392)"
341392,341392,"Pena, Elvis (341392)"
